gx,gy,gz,del_t,ang
-183,53,-6,2741780195,0.028320738072788485
-193,62,-6,2741780759,0.028331611627848783
-196,71,-5,2741781853,0.0283897712231259
-185,68,-6,2741790167,0.02839706980576108
-187,64,-10,2741790724,0.028426714297793323
-191,63,-11,2741791258,0.028470949653662172
-193,65,-14,2741791819,0.028550525571676675
-200,71,-11,2741800133,0.02984787654680369
-202,67,-12,2741800690,0.0299410249325145
-179,74,-3,2741810195,0.029512061198088687
-178,71,2,2741810756,0.029441657162759417
-186,73,0,2741811851,0.02938298641919899
-196,63,-6,2741820167,0.02965399279559154
-197,68,-8,2741820723,0.02970219281596574
-199,67,-5,2741821258,0.029729102445241913
-198,65,-2,2741821818,0.02972687691458683
-183,66,-4,2741830132,0.02938343231255658
-185,64,-4,2741830687,0.029361905559665374
-186,68,-4,2741840174,0.029190015867592695
-188,63,0,2741840742,0.02914111058232411
-193,75,1,2741841828,0.029105656289253806
-180,67,-9,2741850165,0.029354723057084524
-180,66,-12,2741850722,0.02939575930156467
-189,62,-10,2741851257,0.029426943656337745
-195,59,-5,2741851816,0.029423548471329695
-192,62,-6,2741860132,0.029520848717571938
-187,68,-6,2741860688,0.029530603516411243
-196,51,-11,2741870175,0.030208964707399047
-200,57,-5,2741870741,0.030222414722822964
-204,64,3,2741871827,0.030155061337495622
-201,85,6,2741880165,0.029706922964884336
-193,83,4,2741880719,0.029678767823261162
-183,80,-4,2741881254,0.029683023385367234
-176,78,-13,2741881815,0.029738092615062203
-197,56,-7,2741889487,0.030000220994001934
-193,56,-10,2741890051,0.030035890390250748
-198,61,-7,2741899184,0.03060060657662344
-203,71,-10,2741899798,0.030696759332610183
-198,79,-1,2741900927,0.030722132089548784
-192,70,4,2741909187,0.029898958772966968
-195,74,-2,2741909742,0.029905959576705145
-201,75,-6,2741910828,0.03002027229137031
-187,76,-10,2741918010,0.030649621918606568
-181,77,-5,2741918572,0.030644993606780656
-184,63,-8,2741919655,0.030651248942123087
-190,59,-1,2741926742,0.030145361397488458
-195,62,-5,2741927277,0.030156725147329515
-196,64,-8,2741927827,0.030197593339302935
-194,66,-9,2741928361,0.030241998033906974
-185,66,0,2741934001,0.02972849799539532
-174,64,-11,2741941745,0.02982119450396182
-185,71,-7,2741942280,0.02983581678411933
-192,77,-6,2741942840,0.029867771862817853
-196,76,-3,2741943375,0.029882829405129978
-201,63,8,2741949455,0.029041450894888618
-191,63,10,2741949991,0.028928764580276545
-193,59,4,2741959183,0.02781188835355366
-194,52,1,2741959796,0.027761050515376733
-194,55,-9,2741960928,0.027835896538274937
-189,68,-5,2741969184,0.027880097173290923
-198,68,-9,2741969739,0.027940579145822424
-192,75,-14,2741970825,0.028115891240218707
-188,67,-6,2741978007,0.028210014480468
-187,63,-9,2741978542,0.02823383355789428
-184,61,-13,2741979652,0.028327312843720576
-187,66,-4,2741987164,0.02816818899129311
-190,60,2,2741987714,0.028111721218566064
-189,56,-1,2741988249,0.028074340123745656
-193,55,-1,2741988808,0.02804533277106739
-186,75,-9,2741994468,0.02839502672236768
-188,76,-10,2741995005,0.02844290220344934
-178,68,-6,2742000692,0.028306941883870285
-202,59,-7,2742002321,0.02842436766404957
-186,72,1,2742010166,0.027764203467058855
-186,66,1,2742010724,0.02771098621504444
-185,48,-5,2742011819,0.027659578954374726
-191,53,-12,2742029157,0.029492443275631185
-193,56,-10,2742029714,0.029547037361416662
-198,60,-11,2742030249,0.029616792182703734
-205,65,-16,2742030800,0.0297429944412036
-187,58,-3,2742045148,0.029428909848592276
-190,64,0,2742045706,0.029396076008360722
-196,78,-1,2742046241,0.029373252379884574
-195,82,-4,2742046799,0.02936998600299629
-194,53,-8,2742061507,0.030808048511163862
-192,52,-7,2742062071,0.030858760039811875
-194,54,-2,2742062612,0.03086927334878663
-194,60,-1,2742063147,0.030862898481053332
-186,66,-12,2742069448,0.031509743386510275
-192,59,-8,2742069984,0.03155566949001972
-190,78,2,2742075663,0.03086772190740128
-191,68,-15,2742077290,0.031126615440837134
-186,74,-2,2742085178,0.030637169881657326
-185,69,-1,2742085736,0.030599513470450763
-187,70,-2,2742086271,0.030573548770891235
-186,71,-8,2742086823,0.030592892683196062
-202,67,-2,2742092458,0.03063462490147965
-192,69,-7,2742092995,0.030658040346300913
-185,49,-2,2742102171,0.030666712793314406
-201,71,-10,2742103850,0.03084593559077755
-182,71,2,2742108420,0.030256694533040373
-183,69,3,2742109002,0.030179373872060197
-190,69,-6,2742118158,0.03036346354011711
-186,76,-3,2742118701,0.030332196163381456
-179,75,12,2742119796,0.030009723541330104
-197,68,0,2742128200,0.02965476345400601
-200,69,-5,2742128757,0.029676802514249246
-198,69,-4,2742129292,0.029686684330910085
-275,-17,6,2742134989,0.033560917172841535
791,1417,-453,2742150158,0.39022746069094516
831,1459,-428,2742150715,0.4052659351576394
859,1469,-386,2742151250,0.4197909555213184
870,1458,-347,2742151801,0.4346315752682402
-319,-28,-325,2742166554,0.43311212700164187
-270,25,-335,2742167118,0.4339280429044399
-288,10,-369,2742167669,0.4347237585058428
-249,62,-408,2742168204,0.43613614417410895
-197,159,-767,2742174458,0.48291129459682486
